ISO_Code,Guam,Ctry_Land,percent_IP_communitylands,Country Conversion,Country Coversion (pop)
ESP,Spain,50357654,No data,Spain,Spain
SP-,Spratly islands (disputed islands),188,No data,,
LKA,Sri Lanka,6487809,No data,Sri Lanka,Sri Lanka
SUR,Suriname,14500448,No data,Suriname,Suriname
SJM,Svalbard and Jan Mayen (Norway),6093251,No data,,
SWE,Sweden,41317410,No data,Sweden,Sweden
CHE,Switzerland,3993122,No data,Switzerland,Switzerland
SYR,Syria,18497876,No data,Syrian Arab Republic,Syrian Arab Republic
TJK,Tajikistan,14064211,No data,Tajikistan,Tajikistan
THA,Thailand,51056627,No data,Thailand,Thailand
TON,Tonga,73992,No data,,
TTO,Trinidad and Tobago,517261,No data,Trinidad and Tobago,Trinidad and Tobago
TUR,Turkey,76794735,No data,Turkey,Turkey
TKM,Turkmenistan,46430833,No data,,
TCA,Turks and Caicos Islands (UK),93491,No data,Turks and Caicos Islands,Turks and Caicos Islands
UKR,Ukraine,58499888,No data,Ukraine,Ukraine
ARE,United Arab Emirates,7942326,No data,United Arab Emirates,United Arab Emirates
GBR1,United Kingdom - England,12972000,No data,The United Kingdom,United Kingdom
GBR2,United Kingdom - Northern Ireland,1412100,No data,,
GBR3,United Kingdom - Scotland,7710000,No data,,
GBR4,United Kingdom - Wales,2076800,No data,,
UMI,United States Minor Outlying Islands (USA),4668,No data,,
URY,Uruguay,17446291,No data,Uruguay,Uruguay
UZB,Uzbekistan,43059811,No data,Uzbekistan,Uzbekistan
VAT,Vatican City,53,No data,,
VNM,Vietnam,32572673,No data,Viet Nam,Viet Nam
VIR,United Stats Virgin Islands (U.S.),36179,No data,United States Virgin Islands,United States Virgin Islands
WLF,Wallis and Futuna (France),15632,No data,,
YEM,Yemen,45370900,No data,Yemen,Yemen
